Metric,Value
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,6
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.25836131187953104
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.26604505462797035
timing__hold__ws__corner:max_tt_025C_1v80,0.4582606090972343
timing__setup__ws__corner:max_tt_025C_1v80,5.139248283511889
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.458261
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,5.139248
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,3
design__max_fanout_violation__count__corner:max_ss_100C_1v60,6
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.26064559581730123
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.2728291836341131
timing__hold__ws__corner:max_ss_100C_1v60,1.160317541557592
timing__setup__ws__corner:max_ss_100C_1v60,0.0008890666232643467
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.160318
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,0.000889
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,6
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2572081509468149
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.26318931112768795
timing__hold__ws__corner:max_ff_n40C_1v95,0.20074847907767998
timing__setup__ws__corner:max_ff_n40C_1v95,6.975838770743269
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.200748
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,6.975839
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,7
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79807
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79936
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00193239
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00174008
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000594482
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00174008
design_powergrid__voltage__worst,0.00174008
design_powergrid__voltage__worst__net:VPWR,1.79807
design_powergrid__drop__worst,0.00193239
design_powergrid__drop__worst__net:VPWR,0.00193239
design_powergrid__voltage__worst__net:VGND,0.00174008
design_powergrid__drop__worst__net:VGND,0.00174008
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0006440000000000000411615186379776787362061440944671630859375
ir__drop__worst,0.00193000000000000007487066522315899419481866061687469482421875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
